Ime,Opis recepta,Uporabnik,Datum,ID recepta,Priložnost,Priprava,Sezona,Vrsta jedi,Čas priprave,Sestavine,Postopek

Kokosova potica v čokoladnem testu,kokos in čokolada - zmagovalna kombinacija,Fala Slonček,7.4.2017,21297,"martinovo, božič, velika noč, novo leto, miklavževo",,pomlad,sladice,45 minut,"1. Kvas Fala z žličko sladkorja raztopimo v mlačnem mleku in ga prilijemo v posodo z ostalimi sestavinami brez masla in kakava. Zamesimo kvašeno testo. Med počasnim mešanjem počasi dodajamo na lističe narezano maslo. Na koncu mešamo deset minut na najvišji hitrosti. Nekaj minut pred koncem mešanja dodamo še kakav v prahu in mešamo še toliko časa, da se povsem enakomerno vmeša v testo. Lepo gladko testo pokrijemo in damo na toplo vzhajati.2. Med vzhajanjem pripravimo nadev. Z vrelim mlekom prelijemo kokosovo moko in pustimo, da se ohladi. Iz beljakov stepemo sneg ob postopnem dodajanju sladkorja. Kokosovi moki primešamo sneg, limonino lupinico in mascarpone.3. Vzhajano testo stresemo na pult in ga razvaljamo na pravokotnik. Premažemo ga z nadevom,  zvijemo v zavitek, položimo v model za potico in damo ponovno vzhajati na toplo. Vzhajano potico premažemo s stepenim jajcem, jo na več mestih prebodemo z iglo in damo v vročo pečico. Potico pečemo približno 50–60 minut pri 175 stopinjah (v glinenem modelu se bo pekla nekaj časa dlje).","Testo: 1 kocka kvasa Fala 47 dag moke 2 dl mleka 8 dag jogurta 4 dag sladkorja 3 dag masla 2 jajci 2 rumenjaka 2 žlici olja 2 žlici kakava v prahu 1,5 male žličke soli Nadev: 2,5 dl mleka 25 dag kokosove moke 12 dag sladkorja 2 beljaka 2 žlici mascarpone sirčka limonina lupinica "

"Maslena spletenka z rozinami, brusnicami, suhimi slivami in jagodami",idealno pecivo za klepet ob kavi ali kozarčku vina,Fala Slonček,8.4.2017,21298,"martinovo, božič, velika noč, novo leto, piknik",pečenje,,sladice,45 minut,"1. Kvas Fala in sladkor raztopimo v toplem mleku. V  posodo odmerimo vse ostale sestavine brez masla, prilijemo raztopljeni kvas in zamesimo kvašeno testo. Med mešanjem postopno dodajamo zmehčano maslo. Na koncu mešamo deset minut na najvišji hitrosti, da se sestavine dobro povežejo med seboj. Gladko vmešano testo pokrijemo in damo na toplo vzhajati.2. Vzhajano testo stresemo na pult, ga pregnetemo in pustimo nekaj časa počivati. Ta čas zmehčano maslo zmešamo z vanilinim sladkorjem in žlico sladkorja. Suhe slive in jagode razrežemo na manjše koščke. Nato testo pa razvaljamo na pravokotnik, ga premažemo z maslom, posujemo suho sadje in na koščke narezane jagode ter nadevano testo tesno zvijemo skupaj v zavitek. Zavitek položimo na peki papir, ga po dolžini prerežemo na dva dela, tako da se na eni strani še malo drži skupaj. Oba dela nato med seboj previdno prepletemo, da nam sadje ne izpade. Pozorni smo, da je na vrhu vedno prerezana polovica zavihka in se lepo vidijo plasti testa in nadeva.3. Oba konca zavitka sklenemo skupaj in oblikujemo krog, ga s pomočjo peki papirja položimo na pekač,  premažemo s stepenim jajcem in damo na toplo vzhajati. Vzhajan zavitek prestavimo v vročo pečico in pečemo približno 50 minut na 175 stopinjah.","Testo: 1 kocka kvasa Fala 3 dl mleka 80 dag moke 15 dag kisle smetane 15 dag sladkorja 14 dag masla 2 jajci 2 rumenjaka 2,5 male žličke soli Nadev: 15 dag masla 10 dag rozin 10 dag brusnic 10 dag suhih sliv 10 dag zmrznjenih jagod (ali iz kompota) 4 vanilin sladkorji 1 žlica navadnega sladkorja 1 jajce za premaz "

Mešani kruh s sezamom in sončnicami,kruh kot je včasih bil,Fala Slonček,8.4.2017,21299,"martinovo, piknik",,,,45 minut,"1. Vodo in obe vrsti moke dobro premešamo, pokrijemo s folijo in pustimo počivati tri ure na hladnem. Nato dodamo v posodo kislo testo*, nadrobimo kvas Fala in mešamo toliko časa, da postane testo povsem prožno in odstopa od posode. Takrat dodamo še semena sezama in sončnic, sol in premešamo, da se semena enakomerno razporedijo, dodamo vodo in premešamo le toliko, da se voda razporedi po testu. Posodo znova pokrijemo in damo vzhajati.2. Ko je testo vzhajalo, ga stresemo na gladko površino, z dlanmi potisnemo testo na vse strani in pustimo še nekaj minut počivati. Nato gornji rob zavihamo proti sebi in pritisnemo obrnjen rob ob spodnjo plast. Nadaljujemo z vihanjem roba na levi strani, potisnemo rob gornje plasti ob spodnjo in enako še na desni strani. Nato na spodnji strani zavihamo rob navzgor in nato zavijemo, kot bi želeli testo zviti v zavitek ali potico ter pri tem zategujemo, da dobimo štruco z napeto površino. Dobljeno štruco med dlanmi vrtimo in potiskamo z dlanmi testo od strani pod samo štručko, ki se ob vrtenju spreminja v gladek hlebček. Položimo ga na pomokano krpo v pehar z gladko stranjo na dnu peharja in pokrijemo s krpo ter damo na toplo vzhajati.3. Vzhajan hlebec obrnemo na pekač, z nožem zarežemo več črt in damo v vročo pečico. V pečico postavimo tudi posodo z vodo, ki bo med peko izhlapevala in ustvarjala soparo. Kruh pečem pol ure na 240 stopinjah, nato temperaturo zmanjšamo na 180 stopinj ter pečemo še približno pol ure.","Faza I: 7 dl vode 15 dag ržene moke 75 dag bele moke Faza II: ½ kocke kvasa Fala 20 dag kislega testa 3 žlice semen sezama 3 žlice semen sončnic 3 male žličke soli 0,5 dl vode "

Mešani pirin kruh s kislim testom z daljšim počivanjem,pirin kruh nekoliko drugače,Fala Slonček,9.4.2017,21300,piknik,,,,45 minut,"1. Zvečer zmešamo vodo, belo, črno in pirino moko ter dobljeno gladko testo pustimo čez noč v pokriti posodi na hladnem.2. Zjutraj mešanici vode in moke dodamo kislo testo, nadrobimo pol kocke kvasa Fala, premešamo, dodamo sol in temeljito premešamo, da se vse sestavine dobro povežejo. Pustimo nekaj minut, nato testo razvlečemo in preložimo vsaj enkrat; če nam čas dopušča pa čez dvajset minut še enkrat. Testo raztegujemo tako, da na gornji strani posode (na nasprotni od sebe) primemo za testo in ga vlečemo navzgor, nato pa položimo preko dela, ki je ostal na dnu posode. Obrnemo posodo za četrtino in znova povlečemo, položimo; obrnemo za četrt posode in spet povlečemo, položimo,... ponavljamo, dokler ne začutimo, da je šibko testo postalo čvrsto - s tem smo okrepili glutenske vezi.3. Testo pustimo počivati nadaljnjih deset do dvanajst ur na hladnem– do popoldneva, ko pridemo iz službe. Takrat bo posoda s testom polna mehurčkov. Stresemo ga na gladko površino, in s pomočjo lopatke od vseh strani zavihamo testo proti sredini, da nakažemo obliko hlebčka. Pustimo počivati 15 - 30 minut, nato oblikujemo hlebec.  Najprej z dlanmi potisnemo po površini hlebčka in ga s tem malo raztegnemo na vse strani. Nato z gornje strani zavihamo rob testa proti sebi in obe plasti s prsti dobro stisnemo skupaj.4. Nadaljujemo z vihanjem testa z vseh strani in na koncu dobljeno gmoto testa zavrtimo v smeri od sebe proč, kot bi ga hoteli zviti v potico, da dobimo štruco. Pri zvijanju poskušamo malo zategovati, da dobimo gladko, napeto gornjo površino. Dobljeno štruco s krožnimi gibi dlani oblikujemo v hlebček, tako da ga z dlanmi vrtimo ob potiskanju na podlago.  Hlebček položimo v pomokan pehar z gladko stranjo na dnu peharja. Pustimo ga vzhajati vsaj dve do tri ure v prostoru, kjer ni preveč toplo.5. Malo preden je hlebček dovolj vzhajal, segrejemo pečico skupaj s posodo s pokrovom, v kateri bomo pekli kruh na 240 stopinj. Ko je kruh vzhajal, ga obrnemo na desko, pokrito s peki papirjem in zarežemo v hlebec vzorec. Iz pečice vzamemo vročo posodo, jo odkrijemo, z deske stresemo hlebec v posodo in jo pokrijemo ter  damo kruh v vročo pečico. Kruh pečemo pol ure pri 240 stopinjah, nato ga vzamemo iz pečice, zmanjšamo temperaturo na 190 stopinj, odstranimo pokrov in damo posodo s kruhom nazaj v pečico za dvajset minut, da se do konca speče in lepo obarva.6. Pečeni kruh vzamemo iz pečice in hlebček damo na mrežo, ga pokrijemo in pustimo, da se ohladi.","Faza I: 4,5 dl vode 34 dag bele moke 20 dag polnozrnate pirine moke 6 dag črne moke Faza II: 35 dag kislega testa* ½  kocke kvasa Fala 3 male žličke soli "

Orehova potica z dateljni,dateljni so lahko uporabni tudi za potico,Fala Slonček,9.4.2017,21301,"božič, velika noč, novo leto",pečenje,,sladice,60 minut,"1. Kvas Fala raztopimo v toplem mleku in ga prilijemo k moki. Dodamo vse ostale sestavine brez masla in zamesimo kvašeno testo. Najprej mešamo počasi in med mešanjem dodajamo zmehčano maslo. Na koncu mešamo deset minut na najvišji hitrosti, da se sestavine dobro povežejo in postane testo gladko ter odstopa od posode. Posodo pokrijemo in pustimo testo na toplem vzhajati.2. Med vzhajanjem pripravimo nadev. Dateljne razrežemo na majhne koščke. Sladko smetano zavremo in z njo poparimo orehe. Beljaka stepemo ob postopnem dodajanju  sladkorja v trd sneg. V nadev vmešamo rum in sneg beljaka.3. Vzhajano testo stresemo na pult, ga pregnetemo, pustimo počivati nekaj minut, nato pa razvaljamo na pravokotnik. Premažemo ga z nadevom, posujemo koščke dateljnov in zvijemo v zavitek. Tega položimo v pomaščen model in pustimo vzhajati.4. Vzhajano potico premažemo s stepenim jajcem, jo na več mestih prebodemo z iglo in prestavimo v vročo pečico. Pečemo jo eno uro pri 175 stopinjah.5. Pečeno potico vzamemo iz pečice, jo pustimo nekaj minut v modelu, nato jo obrnemo iz modela na krožnik (gornji del potice v modelu je na dnu krožnika) in ohladimo do konca.","Testo: ½ kocke kvasa Fala 2 dl mleka 45 dag bele moke 9 dag kisle smetane 7 dag masla 3 dag sladkorja 1 rumenjak 1 jajce 1,5 male žličke soli Nadev: 60 dag orehov 2,5 dl sladke smetane 0,5 dl ruma 2 beljaka 18 dag sladkorja 15 dag dateljnov 1 jajce za premaz "

Pletenka iz pet delov,nekaj ročnih spretnosti za lep rezultat,Fala Slonček,10.4.2017,21302,"martinovo, božič, velika noč, novo leto, miklavževo",pečenje,,,60 minut,"1. Kvas Fala raztopimo v mlačnem sladkanem mleku in ga prilijemo k presejani moki. Dodamo vse ostale sestavine brez olja ter zamesimo kvašeno testo. Med mešanjem počasi prilivamo olje. Najprej mešamo na nizki hitrosti, na koncu na visoki hitrosti, da postane testo svilnato. Zatem ga pokrijemo s kuhinjsko folijo in damo na toplo vzhajati.2. Vzhajano testo pregnetemo, damo na pol in nato polovico razdelimo na pet kosov – količina zadošča za dve pletenki. Vsak kos oblikujemo v svaljek primerne dolžine. Vseh pet zložimo enega poleg drugega tako, da se na vrhu držijo skupaj, spodaj pa dva trakova položimo bolj na desno, tri pa bolj na levo stran. Zatem prvega zunanjega na levi strani preložimo preko prvega soseda (preko drugega z leve strani), tretji trak z leve pa privzdignemo, da zunanji trak prestavimo na desno stran pod njim in ga damo poleg dveh, ki sta bila prej na desni strani. Tako imamo na desni strani zdaj tri trakove (na začetku skrajno levi bo tretji z desne strani) in na levi le dva. Nadaljujemo enako z desne strani proti levi: zunanji trak položimo preko prvega soseda (preko drugega z desne) in nato pod tretjim trakom z desne na levo stran, kjer bodo spet trije trakovi. Nadaljujemo do konca.3. Ko smo kito spletli do konca, jo položimo na pekač in damo ponovno vzhajati. Vzhajano pletenko premažemo s stepenim jajcem, postavimo v vročo pečico in pečemo pri 180 stopinjah približno 40 minut.","1 kocka kvasa Fala 2,5 dl mleka 10 dag kisle smetane 70 dag moke 5 dag sladkorja 2 vanilin sladkorja 3 jajca 1 rumenjak 5 žlic olja 3 male žličke soli (za približno 2 pletenki) 1 jajce za premaz "

Pletenka iz štirih trakov,tako lepo pletenko vam bo skoraj škoda raztrgati:),Fala Slonček,10.4.2017,21303,"božič, velika noč, novo leto",pečenje,,,60 minut,"1. Kvas Fala raztopimo v toplem mleku in ga prilijemo k moki. Dodamo vse ostale sestavine brez masla in zamesimo kvašeno testo. Najprej mešamo počasi in med mešanjem dodajamo zmehčano maslo. Na koncu mešamo deset minut na najvišji hitrosti, da se sestavine dobro povežejo in postane testo gladko ter odstopa od posode. Posodo pokrijemo in pustimo testo na toplem vzhajati.2. Vzhajano testo stresemo na pult, ga pregnetemo, razrežemo na osem enako velikih kosov in pustimo počivati nekaj minut. Nato vsak kos testa oblikujemo v daljši svaljek.3. Štiri svaljke postavimo enega poleg drugega, tako da se na gornji strani držijo skupaj, spodaj pa je vsak svaljek/trak pletenke bolj narazen. Pletenko začnemo spletati tako,  da trak na desni strani prestavimo preko drugega traka z desne strani. Nato drugi trak z leve privzdignemo in skrajno levega prestavimo pod njim proti sredini in preko tretjega z leve strani (to je bil prvi krak na desni strani, ki smo ga tik pred tem prestavili. Nato znova skrajno desnega pa prestavimo preko drugega z desne in nadaljujemo spletanje z leve strani; vedno z zunanje strani proti notranji (desnega nad sosednjim, levega pod sosednjim in oba nato na sredini ravno obratno). Ko zaključimo spletanje, še lepo zaključimo in po potrebi malo spodvihamo zaključni del.4. Spleteno kito previdno položimo na pekač (to bo lažje, če jo bomo že spletali na peki papirju) in damo na toplo vzhajati. Pletenka mora res dobro vzhajati. Če bi jo prehitro prestavili v vročo pečico, se nam bi spleteni trakovi med seboj zaradi pospešenega vzhajanja v pečici lahko natrgali.5. Pletenko premažemo s stepenim jajcem tik preden jo prestavimo v vročo pečico. Pečemo jo pri 175 stopinjah približno pol ure.","½ kocke kvasa Fala 2 dl mleka 47 dag bele moke 5 dag kisle smetane 5 dag masla 4 dag sladkorja 1 vanilin sladkor 1 rumenjak 1 jajce 0,2 dl ruma 1,5 male žličke soli 1 jajce za premaz "

Velikonočni zajci,obvezno na velikonočni mizi,Fala Slonček,11.4.2017,21304,velika noč,pečenje,,,45 minut,"1. Kvas Fala raztopimo v toplem mleku in ga prilijemo k moki. Dodamo vse ostale sestavine brez masla in zamesimo kvašeno testo. Najprej mešamo počasi in med mešanjem dodajamo zmehčano maslo. Na koncu mešamo deset minut na najvišji hitrosti, da se sestavine dobro povežejo in postane testo gladko ter odstopa od posode. Posodo pokrijemo in pustimo testo na toplem vzhajati.2. Vzhajano testo stresemo na pult, ga pregnetemo, razrežemo na enako velike koščke in pustimo počivati nekaj minut. Nato vsak kos testa oblikujemo v daljši svaljek. Odrežemo dva koščka, enega manjšega za repek, enega malo večjega za glavo zajca. Preostali svaljek zavijemo v klobčič, ga položimo na pekač in pritrdimo kroglico, ki smo jo oblikovali iz manjšega koščka odrezanega svaljka. Drugi, malo večji odrezani del od svaljka malo sploščimo in nakažemo obliko glave. Nato jo na dolžini ene tretjine prerežemo in zarezana konca oblikujemo v ušeska. Del, ki se še drži skupaj, pa oblikujemo v glavo in jo pritrdimo na vrhu zvitega klobčiča. Na mesto oči pritisnemo rozino, celega zajca pa nato premažemo s stepenim jajcem. Enako oblikujemo zajce iz vseh ostalih kosov testa.3. Zajce pustimo vzhajati na toplem, nato pa jih prestavimo v vročo pečico in pečemo približno 20 minut na 175 stopinjah, da se spečejo in lepo obarvajo.","½ kocke kvasa Fala 2 dl mleka 45 dag bele moke 9 dag kisle smetane 7 dag masla 3 dag sladkorja 1 rumenjak 1 jajce 1,5 male žličke soli nekaj rozin za oči "

Velikonočna šunka Kodila,Nepogrešljivo na velikonočni mizi,Kodila Gourmet,7.4.2017,21305,velika noč,,,,60 minut,"Šunko Kodila položimo v lonec tople vodo in postavimo na ogenj. Pustimo, da vre pol ure. Odstavimo in pustimo, da v vroči vodi počiva še 30 minut.Video navodila si lahko ogledate v spodnjem prispevku.",1 kg šunke Kodila 

Šunka v testu Kodila,Vaša velikonočna miza bo s tem videti precej bolje,Kodila Gourmet,7.4.2017,21306,velika noč,,,,60 minut,"Šunki Kodila odstanimo kožo in jo položimo na razvaljano testo za kruh ali pico. Šunko zavijemo in na zgornji strani naredimo luknje za uhajanje pare. Vse skupaj premažemo z jajcem.Pečemo najprej 30 minut v predogreti pečici na 140°C in nato še 40 minut na 170°C. Ko vzamemo iz pečice, šunko obrnemo in damo počivat.Video navodila si lahko ogledate v spodnjem prispevku.",1 šunka Kodila testo za kruh ali pico 1 jajce za premaz 

Ramen juha s čemažem in ajdovimi fritati,ramen juha iz moje bodoče betule,proxima,13.4.2017,21307,,,,glavne jedi,240 minut,"Priprava juhe:kosti namočimo v mrzlo vodo za nekaj ur, vodo vmes enkrat ali dvakrat zamenjamo. V velikem loncu zavremo 3 litre vode, stresemo noter svinjske kosti, jih na hitro blanširamo in odcedimo. Dodamo kokošje meso in preostanek sestavin za juho, zalijemo s svežo vodo za prst nad sestavinami, zavremo, nato pa kuhamo vsaj 6 ur pokrito na čisto majhnem ognju; če vmes izpari preveč tekočine, jo počasi dolivamo. Juho odcedimo, ohladimo toliko, da lonec ne peče več v roke (približno 45 stopinj), nato pa še enkrat filtriramo, lahko skozi gosto bombažno krpo, ki mora biti prekuhana in večkrat sprana v hladni vodi, da nima priokusa po pralnih sredstvih; lahko uporabimo tudi zelo gosto cedilo ali kar filter za kavni avtomat (jaz imam enega prav v take namene).Ohladimo v hladilniku; ohlajeni juhi, ki se je spremenila v gosto, neprosojno, vendar svetlo žolco, posnamemo večino maščobe. V pokriti posodi v hladilniku jo lahko hranimo tri dni, v zmrzovalniku pa tri mesece.Ajdovi fritati: iz treh zvrhanih žlic ajdove moke, malce soli, nekaj žlic temnega piva in preostalih beljakov ali enega celega jajca, zmešamo redko tekoče testo in na nizki temperaturi spečemo ne pretanke palačinke; ohlajene narežemo na rezance.Svež čemaž narežemo na trakce.Jajca skuhamo v mehko in ohladimo; tik pred serviranjem jih olupimo in prerežemo na polovičke.Svinjsko trebuševino mariniramo v pekoči sladko-kisli omaki (med, limonin sok, sojina omaka, feferoni ali cayennski poper, sol, po želji malce kumina) in jo spečemo v pečici. Pred serviranjem jo razrežemo na tanke rezine, še enkrat pomočimo v sladko-kislo pekočo omako in popečemo na žaru ali na peki papirju v zelo vroči pečici.Kot pekočo omako sem uporabila kar omako AOP, aglio-olio-peperoncino, ki jo sicer dajem na pašto, pečene sardele ali kuhano zelenjavo; pripravim jo tako, da veliko česna sesekljam na drobno, prepražim na nekaj žlicah olivnega olja na zmerni temperaturi, nazadnje primešam čilijeve kosmiče ali sveže drobno nasekljane feferončke.Gobe šitake in ostalo zelenjavo narežemo na tanke rezinice.Goveji mozeg nekaj ur namakamo v mrzli vodi, nato ga narežemo na tanke rezinice, povaljamo v moki in na hitro opečemo v zelo vročem maslu.Serviranje: juho pogrejemo do vrenja, na krožnike naložimo dodatke po želji in izbiri, nato jih zalijemo z vrelo juho.","Za jušno osnovo (tonkotsu ramen): 1,5 - 2 kg svinjskih kosti z veliko veziva (hrbti ali sklepi) in malo mesa dober kg stare kokoši (najbolje hrbet in kosti) 1 večja olupljena čebula glavica ali dve česna (lahko jo samo grobo olupimo, odrežemo vrh in koreninice in prerežemo na pol) kos zelenine in peteršiljeve korenine kos svežega ingverja košček muškatnega oreščka nekaj zrnc popra malo soli Dodatki za serviranje: ajdovi fritati svež čemaž (izven sezone tudi por ali mlada čebula) mehko kuhana jajca ali surovi rumenjaki rezine karamelizirane sladko kisle svinjine čilijevo olje ali hoisin ali kaka druga pekoča omaka sojina omaka gobe šitake kitajsko zelje in/ali pak choy in/ali stebla zelene surovo korenje svež ingver začinjen kis goveji mozeg "

